Country,Company Name,Year,Sector,DealType,DealSubtype, Proceeds ($ millions) ,RealSector
Hungary,Elektroimpex Külkereskedelmi Rt.,1996,Services,,, 0.12 ,Trade
Hungary,BUBIV Bútor Palota Kft.,1996,Services,,, 0.14 ,Industry
Hungary,Raab Karcher Észak Tüzép Kereskedelmi Kft,1996,Services,,, 0.15 ,Trade
Hungary,Baranya-Tolna Megyei Tégla- és Cserépipari Kft.,1996,Services,,, 0.16 ,Industry
Hungary,AROMA Kereskedelmi Rt.,1996,Services,,, 0.18 ,Trade
Hungary,Baranyaker Rt.,1996,Services,,, 0.18 ,Trade
Hungary,Murányi Sütôipari és Kereskedelmi Rt.,1996,Services,,, 0.18 ,Industry
Hungary,Sjpesti Autójavító Kft.,1996,Services,,, 0.18 ,Trade
Hungary,KIPSZER Klíma Kft.,1996,Services,,, 0.18 ,Industry
Hungary,Flrészipari és Parkettagyártó Kft.,1996,Services,,, 0.20 ,Industry
Hungary,TESA Textilhulladék-feldolgozó és Forgalmazó Kft.,1996,Services,,, 0.20 ,Industry
Hungary,GLOVITA Kesztyü Rt,1996,Services,,, 0.20 ,Industry
Hungary,Alföldi Kohászati és Gépipari Rt.,1996,Services,,, 0.24 ,Industry
Hungary,Lbudai Sütôipari és Kereskedelmi Rt.,1996,Services,,, 0.24 ,Industry
Hungary,Északmagyar Téglaipari Részvénytársaság,1996,Services,,, 0.29 ,Industry
Hungary,Nyugat-Pest Megyei Élelmiszerkereskedelmi Rt.,1996,Services,,, 0.29 ,Trade
Hungary,Bonbonetti Nagykanizsai Sütô-és Édesipari Rt.,1996,Services,,, 0.30 ,Industry
Hungary,BIGATTON Fagylaltozókat és Pizzériákat Üzemeltetô Kft.,1996,Services,,,,Tourism
Hungary,Bábolna Nyírmada Takarmánygyártó Kft.,1996,Services,,, 0.33 ,Industry
Hungary,LAMPART Vegyipari Gépgyártó és Forgalmazó Kft.,1996,Services,,, 0.38 ,Industry
Hungary,Bácska Kereskedelmi Rt.,1996,Services,,, 0.39 ,Trade
Hungary,Ceglédi Falemez Kft.,1996,Services,,, 0.49 ,Industry
Hungary,Gép- és Technológiaszerelô Rt.,1996,Services,,, 0.51 ,Industry
Hungary,METAL-CARBON Kereskedelmi Kft.,1996,Services,,, 0.52 ,Trade
Hungary,BHG-Tatabánya Alkatrészgyártó Kft.,1996,Services,,, 0.57 ,Industry
Hungary,Debreceni Hús Rt.,1996,Services,,, 0.59 ,Industry
Hungary,"Bábolna Sped Fuvarozó, Szállító és Jármljavító Kft.",1996,Services,,, 1.00 ,Industry
